rank ,name ,ELO,title,federation,games,birth_year,INTRANK,ACTIVE,age
1,Magnus Carlsen ,2864,GM,Norway ,3125,1990,1,YES,33
2,Liren Ding ,2806,GM,China ,1630,1992,2,YES,31
3,Alireza Firouzja ,2793,GM,France ,845,2003,3,YES,20
4,Fabiano Caruana,2783,GM,United States ,2622,1992,4,YES,31
5,Levon Aronian ,2775,GM,United States ,3320,1982,5,YES,41
6,Wesley So ,2773,GM,United States ,1902,1993,6,YES,30
7,Ian Nepomniachtchi ,2766,GM,Russian Federation ,2297,1990,7,YES,33
8,Richard Rapport ,2764,GM,Hungary ,1278,1996,8,YES,27
9,Anish Giri ,2760,GM,Netherlands ,2209,1994,9,YES,29
10,Hikaru Nakamura ,2760,GM,United States ,3147,1987,10,YES,36
11,Maxime Vachier Lagrave ,2760,GM,France ,2899,1990,11,YES,33
12,Shakhriyar Mamedyarov,2759,GM,Azerbaijan ,3003,1985,12,YES,38
13,Viswanathan Anand ,2756,GM,India ,3913,1969,13,NO,54
14,Leinier Dominguez Perez ,2754,GM,United States ,1301,1983,14,YES,40
15,Jan Krzysztof Duda ,2750,GM,Poland ,1213,1998,15,YES,25
16,Sergey Karjakin ,2747,GM,Russian Federation ,2932,1990,16,,33
17,Alexander Grischuk ,2745,GM,Russian Federation ,3235,1983,17,,40
18,Teimour Radjabov ,2738,GM,Azerbaijan ,1996,1987,18,,36
19,Hao Wang ,2735,GM,China ,1723,1989,19,,34
20,Dmitry Andreikin ,2729,GM,FIDE ,1567,1990,20,,33
21,Veselin Topalov ,2728,GM,Bulgaria ,2383,1975,21,,48
22,Yi Wei ,2727,GM,China ,979,1999,22,,24
23,Quang Liem Le,2722,GM,Viet Nam ,1725,1991,23,,32
24,Nikita Vitiugov ,2722,GM,FIDE ,1768,1987,24,,36
25,Pentala Harikrishna ,2720,GM,India ,2220,1986,25,,37
26,Sam Shankland ,2720,GM,United States ,1007,1991,26,,32
27,Yangyi Yu ,2720,GM,China ,1497,1994,27,,29
28,Santosh Gujrathi Vidit ,2714,GM,India ,1144,1994,28,,29
29,Xiangzhi Bu ,2709,GM,China ,1573,1985,29,,38
30,Kirill Alekseenko ,2708,GM,FIDE ,885,1997,30,,26
31,Radoslaw Wojtaszek ,2708,GM,Poland ,2201,1987,31,,36
32,Alexei Shirov ,2704,GM,Spain ,3578,1972,32,,51
33,Daniil Dubov ,2702,GM,Russian Federation ,1635,1996,33,,27
34,Evgeny Tomashevsky ,2702,GM,Russian Federation ,1544,1987,34,,36
35,Francisco Vallejo Pons ,2702,GM,Spain ,2306,1982,35,,41
36,Parham Maghsoodloo ,2701,GM,Iran ,788,2000,36,,23
37,Gabriel Sargissian ,2698,GM,Armenia ,1646,1983,37,,40
38,Vladislav Artemiev ,2697,GM,Russian Federation ,1428,1998,38,,25
39,Michael Adams ,2696,GM,United Kingdom ,3102,1971,39,,52
40,Sanan Sjugirov ,2696,GM,Russian Federation ,1561,1993,40,,30
41,Bogdan-Daniel Deac ,2692,GM,Romania ,689,2001,41,,22
42,Anton Korobov ,2692,GM,Ukraine ,2133,1985,42,,38
43,Jeffery Xiong ,2691,GM,United States ,776,2000,43,,23
44,Erigaisi Arjun,2689,GM,India ,514,2003,44,,20
45,Nodirbek Abdusattorov ,2688,GM,Uzbekistan ,570,2004,45,,19
46,David Navara ,2688,GM,Czech Republic ,2596,1985,46,,38
47,Hans Moke Niemann ,2688,GM,United States ,518,2003,47,,20
48,Alexandr Predke ,2688,GM,FIDE ,933,1994,48,,29
49,Vladimir Fedoseev ,2686,GM,FIDE ,1576,1995,49,,28
50,Vincent Keymer ,2686,GM,Germany ,392,2004,50,,19
51,Illya Nyzhnyk ,2686,GM,Ukraine ,627,1996,51,,27
52,Ivan Cheparinov ,2685,GM,Bulgaria ,2048,1986,52,,37
53,Gukesh D ,2684,GM,India ,569,2006,53,,17
54,AR Saleh Salem ,2684,GM,United Arab Emirates ,999,1993,54,,30
55,Samuel Sevian ,2684,GM,United States ,703,2000,55,,23
56,Grigoriy Oparin ,2683,GM,United States ,1031,1997,56,,26
57,Peter Svidler ,2683,GM,Russian Federation ,3260,1976,57,,47
58,Andrey Esipenko ,2682,GM,FIDE ,949,2002,58,,21
59,Dmitry Jakovenko ,2682,GM,Russian Federation ,1853,1983,59,,40
60,Ray Robson ,2682,GM,United States ,727,1994,60,,29
61,Pavel Eljanov ,2681,GM,Ukraine ,1740,1983,61,,40
62,Bassem Amin ,2680,GM,Egypt ,1154,1988,62,,35
63,Ivan Saric ,2680,GM,Croatia ,1676,1990,63,,33
64,Chao b Li ,2679,GM,China ,902,1989,64,,34
